# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Revista Latinoamericana de Patologia","Rev. Latinoam. Patol."
"Revista Medica de Chile","Rev. Med. Chil."
"Revista Medica de Costa Rica","Rev. Med. Costa Rica"
"Revista Medica de Panama","Rev. Med. Panama"
"Revista Medica del Hospital General","Rev. Med. Hosp. Gen. (Mex.)"
"Revista Medica Hondurena","Rev. Med. Hondur."
"Revista Medico-Chirurgicala a Societatii de Medici si Naturalisti Din Iasi","Rev. Med. Chir. Soc. Med. Nat. Iasi"
"Revista Mexicana de Cirugia, Ginecologia y Cancer","Rev. Mex. Cir. Ginecol. Cancer"
"Revista Mexicana de Ingenieria Quimica","Rev. Mex. Ing. Quim."
"Revista Mexicana de Urologia","Rev. Mex. Urol."
"Revista Odonto-Estomatologica","Rev. Odontoestomatol."
"Revista Odontologica","Rev. Odontol. (La Paz)"
"Revista Odontologica de Concepcion","Rev. Odontol. Concepcion"
"Revista Odontologica de Costa Rica","Rev. Odontol. Costa Rica"
"Revista Odontologica de Puerto Rico","Rev. Odontol. P. R."
"Revista Odontologica del Circulo de Odontologos del Paraguay","Rev. Odontol. Circ. Odontol. Parag."
"Revista Odontologica Ecuatoriana","Rev. Odontol. Ecuat."
"Revista Odontologica, Facultad de Odontologia, Universidad Nacional de Cordoba","Rev. Odontol. (Cordoba)"
"Revista Panamericana de Salud Publica","Rev. Panam. Salud Publica"
"Revista Paulista de Endodontia","Rev. Paul. Endodontia"
"Revista Paulista de Enfermagem","Rev. Paul. Enferm."
"Revista Paulista de Medicina","Rev. Paul. Med."
"Revista Paulista de Odontologia","Rev. Paul. Odontol."
"Revista Pernambucana de Odontologia","Rev. Pernambucana Odontol."
"Revista Peruana de Medicina de Experimental y Salud Pública","Rev. Peru. Med. Exp. Salud Publica"
"Revista Peruana de Quimica e Ingenieria Quimica","Rev. Peru. Quim. Ing. Quim."
"Revista Portuguesa de Cardiologia","Rev. Port. Cardiol."
"Revista Portuguesa de Estomatologia e Cirurgia Maxilofacial","Rev. Port. Estomatol. Cir. Maxilofac."
"Revista Portuguesa de Pediatria","Rev. Port. Pediatr."
"Revista Portuguesa de Pediatria e Puericultura","Rev. Port. Pediatr. Pueric."
"Revista Quirurgica Espanola","Rev. Quir. Esp."
"Revista Regional de Aracatuba Associacao Paulista de Cirurgioes Dentistas","Rev. Reg. Aracatuba Assoc. Paul. Cir. Dent."
"Revista Romana de Materiale","Rev. Rom. Mater."
"Revista Venezolana de Sanidad y Asistencia Social","Rev. Venez. Sanid. Asist. Soc."
"Revista Venezolana de Urologia","Rev. Venez. Urol."
"Revmatologiia","Revmatologiia (Mosk.)"
"Revolution","Revolution"
"Revue Annuelle, Societe Odonto-Stomatologique du Nord-Est","Rev. Annu. Soc. Odontostomatol. Nordest."
"Revue Belge de Medecine Dentaire","Rev. Belge Med. Dent."
"Revue Belge de Pathologie et de Medecine Experimentale","Rev. Belg. Pathol. Med. Exp."
"Revue Canadienne de Biologie","Rev. Can. Biol."
"Revue Canadienne de Biologie Experimentale","Rev. Can. Biol. Exp."
"Revue d'Electroencephalographie et de Neurophysiologie Clinique","Rev. Electroencephalogr. Neurophysiol. Clin."
"Revue d'Elevage et de Medecine Veterinaire des Pays Tropicaux","Rev. Elev. Med. Vet. Pays Trop."
"Revue d'Epidemiologie et de Sante Publique","Rev. Epidemiol. Sante Publique"
"Revue d'Epidemiologie, Medecine Sociale et Sante Publique","Rev. Epidemiol. Med. Soc. Sante Publique"
"Revue d'Histoire de l'Art Dentaire","Rev. Hist. Art Dent."
"Revue d'Hygiene et de Medecine Sociale","Rev. Hyg. Med. Soc."
"Revue d'Immunologie","Rev. Immunol. (Paris)"
"Revue d'Immunologie et de Therapie Antimicrobienne","Rev. Immunol. Ther. Antimicrob."
"Revue d'Odonto-Stomatologie","Rev. Odontostomatol. (Paris)"
"Revue d'Odonto-Stomatologie du Midi de la France","Rev. Odontostomatol. Midi Fr."
"Revue d'Orthopedie Dento-Faciale","Rev. Orthop. Dento. Faciale"
"Revue d'Oto-Neuro-Ophtalmologie","Rev. Otoneuroophtalmol."
"Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur","Rev. Chir. Orthop. Reparatrice Appar. Mot."
"Revue de Gerontologie d'Expression Francaise","Rev. Gerontol. Expr. Fr."
"Revue de l'Atherosclerose et des Arteriopathies Peripheriques","Rev. Atheroscler. (Paris)"
"Revue de l'Infirmiere","Rev. Infirm."
"Revue de l'Infirmiere et de l'Assistante Sociale","Rev. Infirm. Assist. Soc."
"Revue de l'Infirmiere. Informations","Rev. Infirm. [Inf.]"
"Revue de l'Institut d Hygiene des Mines","Rev. Inst. Hyg. Mines (Hasselt)"
"Revue de Laryngologie Otologie Rhinologie","Rev. Laryngol. Otol. Rhinol. (Bord.)"
"Revue de Medecine Aeronautique","Rev. Med. Aeronaut."
"Revue de Medecine Interne","Rev. Med. Interne"
"Revue de Medecine Psychosomatique et de Psychologie Medicale","Rev. Med. Psychosom. Psychol. Med."
"Revue de Neuropsychiatrie Infantile et d'Hygiene Mentale de l'Enfance","Rev. Neuropsychiatr. Infant."
"Revue de Pathologie Comparee","Rev. Pathol. Comp."
"Revue de Pneumologie Clinique","Rev. Pneumol. Clin."
"Revue de Stomatologie et de Chirurgie Maxillo-Faciale","Rev. Stomatol. Chir. Maxillofac."
"Revue de Tuberculose et de Pneumologie","Rev. Tuberc. Pneumol. (Paris)"
"Revue Dentaire Libanaise (Lebanese Dental Magazine)","Rev. Dent. Liban."
"Revue des Corps de Sante des Armees, Terre, Mer, Air","Rev. Corps Sante Armees. Terre. Mer. Air"
"Revue des Infirmieres et Infirmiers Auxiliaires du Quebec","Rev. Infirm. Infirm. Aux. Que."
"Revue des Maladies Respiratoires","Rev. Mal. Respir."
"Revue du Praticien","Rev. Prat."
"Revue du Rhumatisme et des Maladies Osteo-Articulaires","Rev. Rhum. Mal. Osteoartic."
"Revue du Rhumatisme. Edition Francaise","Rev. Rhum. Ed. Fr."
"Revue du Rhumatisme. English Edition","Rev. Rhum. Engl. Ed."
"Revue du SESDA","Rev. SESDA"
"Revue Europeenne d'Etudes Cliniques et Biologiques","Rev. Eur. Etud. Clin. Biol."
"Revue Francaise d'Allergologie","Rev. Fr. Allergol."
"Revue Francaise d'Endocrinologie Clinique, Nutrition et Metabolisme","Rev. Fr. Endocrinol. Clin."
"Revue Francaise d'Endodontie","Rev. Fr. Endod."
"Revue Francaise d'Etudes Cliniques et Biologiques","Rev. Fr. Etud. Clin. Biol."
"Revue Francaise d'Odonto-Stomatologie","Rev. Fr. Odontostomatol."
"Revue Francaise de Gynecologie et d'Obstetrique","Rev. Fr. Gynecol. Obstet."
"Revue Francaise de la Prothese Dentaire","Rev. Fr. Prothese Dent."
"Revue Francaise de Psychanalyse","Rev. Fr. Psychanal."
"Revue Francaise de Transfusion","Rev. Fr. Transfus."
"Revue Francaise de Transfusion et d'Hemobiologie","Rev. Fr. Transfus. Hemobiol."
"Revue Francaise de Transfusion et Immuno-Hematologie","Rev. Fr. Transfus. Immunohematol."
"Revue Francaise des Maladies Respiratoires","Rev. Fr. Mal. Respir."
"Revue Francaise des Prothesistes Dentaires","Rev. Fr. Prothes. Dent."
"Revue Internationale d'Hepatologie","Rev. Int. Hepatol."
"Revue Internationale des Services de Sante des Armees de Terre, de Mer et de l Air","Rev. Int. Serv. Sante Armees"
"Revue Internationale du Trachome","Rev. Int. Trach."
"Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale","Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop."
"Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale et de Sante Publique","Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop. Sante Publique"
"Revue Lyonnaise de Medecine","Rev. Lyon. Med."
"Revue Medicale de Bruxelles","Rev. Med. Brux."
"Revue Medicale de la Suisse Romande","Rev. Med. Suisse Romande"
"Revue Medicale de Liege","Rev. Med. Liege"
"Revue Medicale du Moyen-Orient","Rev. Med. Moyen. Orient"
"Revue Medicale Internationale de Photo, Cinema, Television (International Journal of Medical Photography, Cinematography and Television)","Rev. Med. Int. Photo Cinema Telev."
"Revue Medicale Suisse","Rev. Med. Suisse"
"Revue Medico-Chirurgicale des Maladies du Foie","Rev. Med. Chir. Mal. Foie"
"Revue Neurologique","Rev. Neurol. (Paris)"
"Revue Odonto-Implantologique","Rev. Odontoimplantol."
"Revue Odonto-Stomatologique du Nord-Est","Rev. Odontostomatol. Nordest."
"Revue Roumaine d'Endocrinologie","Rev. Roum. Endocrinol."
"Revue Roumaine d'Inframicrobiologie","Rev. Roum. Inframicrobiol."
"Revue Roumaine de Medecine","Rev. Roum. Med."
"Revue Roumaine de Medecine Interne","Rev. Roum. Med. Intern."
"Revue Roumaine de Morphologie et d'Embryologie","Rev. Roum. Morphol. Embryol."
"Revue Roumaine de Morphologie et de Physiologie","Rev. Roum. Morphol. Physiol."
"Revue Roumaine de Neurologie","Rev. Roum. Neurol."
"Revue Roumaine de Neurologie et de Psychiatrie","Rev. Roum. Neurol. Psychiatr."
"Revue Roumaine de Physiologie","Rev. Roum. Physiol."
"Revue Roumaine de Virologie","Rev. Roum. Virol."
"Revue Scientifique et Technique, Office International des Epizooties","Rev. Sci. Tech."
"Revue Stomato-Odontologique du Nord de la France","Rev. Stomatoodontol. Nord Fr."
"Revue Suisse de Zoologie","Rev. Suisse Zool."
"RGO","RGO"
"Rheologica Acta","Rheol. Acta"
"Rheumatic Diseases Clinics of North America","Rheum. Dis. Clin. North Am."
"Rheumatism","Rheumatism"
"Rheumatology","Rheumatology"
"Rheumatology and Physical Medicine","Rheumatol. Phys. Med."
"Rheumatology and Rehabilitation","Rheumatol. Rehabil."
"Rheumatology International","Rheumatol. Int."
"Rhinology","Rhinology"
"Rhinology. Supplement","Rhinol. Suppl."
"Rhode Island Dental Journal","R. I. Dent. J."
"Rhode Island Medical Journal","R. I. Med. J."
"Rhode Island Medicine","R. I. Med."
"Rhodesia Nurse","Rhod. Nurse"
"Rhodesian Nurse","Rhod. Nurse"
"Rhumatologie","Rhumatologie"
"Ricerca in Clinica e in Laboratorio","Ric. Clin. Lab."
"Ricerca Scientifica","Ric. Sci."
"Ricerca Scientifica. 2 Ser. Parte 1, Rivista","Ric. Sci. 2 Ser. Pt. 1 Riv."
"Ricerca Scientifica. 2 Ser. Parte 2, Rendiconti. Sezione B, Biologica","Ric. Sci. 2 Ser. Pt 2 Rend. [B]"
"Riforma Medica","Riforma Med."
"Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi (Journal of the Association for Rapid Method and Automation in Microbiology)","Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi"
"Rinsho Byori (Japanese Journal of Clinical Pathology)","Rinsho Byori"
"Rinsho Hoshasen (Japanese Journal of Clinical Radiology)","Rinsho Hoshasen"
"Rinsho Ketsueki (Japanese Journal of Clinical Hematology)","Rinsho Ketsueki"
"Rinsho Kyobu Geka (Japanese Annals of Thoracic Surgery)","Rinsho Kyobu Geka"
"Rinsho Shika (Clinical Dentistry)","Rinsho Shika"
"Rinsho Shinkeigaku (Clinical Neurology)","Rinsho Shinkeigaku"
"Rinsho Shishubyo Danwakai Kaishi","Rinsho Shishubyo Danwakai Kaishi"
"Risk Analysis","Risk Anal."
"Risk Management","Risk Manage."
"RISO Report","RISO Rep."
"Rivista Critica di Clinica Medica","Riv. Crit. Clin. Med."
"Rivista d'Ostetricia e Ginecologia Pratica","Riv. Ostet. Ginecol. Prat."
"Rivista degli Infortuni e delle Malattie Professionali","Riv. Infort. Mal. Prof."
"Rivista dell'Infermiere","Riv. Inferm."
"Rivista dell'Istituto Sieroterapico Italiano","Riv. Ist. Sieroter. Ital."
"Rivista di Anatomia Patologica e di Oncologia","Riv. Anat. Patol. Oncol."
"Rivista di Biologia","Riv. Biol."
"Rivista di Clinica Pediatrica","Riv. Clin. Pediatr."
"Rivista di Emoterapia ed Immunoematologia","Riv. Emoter. Immunoematol."
"Rivista di Gastro-Enterologia","Riv. Gastroenterol."
"Rivista di Istochimica, Normale e Patologica","Riv. Istochim. Norm. Patol."
"Rivista di Malariologia","Riv. Malariol."
"Rivista di Medicina Aeronautica e Spaziale","Riv. Med. Aeronaut. Spaz."
"Rivista di Neurobiologia","Riv. Neurobiol."
"Rivista di Neurologia","Riv. Neurol."
"Rivista di Odontoiatria degli Amici di Brugg","Riv. Odontoiatr. Amici Brugg"
"Rivista di Odontostomatologia e Implantoprotesi","Riv. Odontostomatol. Implantoprotesi"
"Rivista di Ostetricia e Ginecologia","Riv. Ostet. Ginecol."
"Rivista di Ostetricia Ginecologia Pratica e Medicina Perinatale","Riv. Ostet. Ginecol. Prat. Med. Perinat."
"Rivista di Parassitologia","Riv. Parassitol."
"Rivista di Patologia Clinica e Sperimentale","Riv. Patol. Clin. Sper."
"Rivista di Patologia e Clinica","Riv. Patol. Clin."
"Rivista di Patologia Nervosa e Mentale","Riv. Patol. Nerv. Ment."
"Rivista di Storia della Medicina","Riv. Stor. Med."
"Rivista Europea per le Scienze Mediche e Farmacologiche","Riv. Eur. Sci. Med. Farmacol."
"Rivista Italiana d'Igiene","Riv. Ital. Ig."
"Rivista Italiana Degli Odontotecnici","Riv. Ital. Odontotec."
"Rivista Italiana di Ginecologia","Riv. Ital. Ginecol."
"Rivista Italiana di Odontoiatria Infantile","Riv. Ital. Odontoiatr. Infant."
"Rivista Italiana di Stomatologia","Riv. Ital. Stomatol."
"Rivista Oto-Neuro-Oftalmologica","Riv. Otoneurooftalmol."
"Rivista Sperimentale di Freniatria e Medicina Legale delle Alienazioni Mentali","Riv. Sper. Freniatr."
"RN","RN"
"RN (for Managers)","RN (For. Managers)"
"RN Idaho","RN Ida."
"RNA","RNA"
"RNABC News, Registered Nurses Association of British Columbia","RNABC News."
"RNAO News","RNAO News"
"Rocky Mountain Medical Journal","Rocky Mt. Med. J."
"Rocznik Pomorskiej Akademii Medycznej im. Gen. Karola Swierczewskiego w Szczecinie","Rocz. Pomor. Akad. Med."
"Roczniki Akademii Medycznej im. Juliana Marchlewskiego w Bialymstoku","Rocz. Akad. Med. Im. Juliana Marchlewskiego Bialymst."
"Roczniki Akademii Medycznej im. Juliana Marchlewskiego w Bialymstoku. Supplement","Rocz. Akad. Med. Im. Juliana Marchlewskiego Bialymst. Suppl."
"Roczniki Akademii Medycznej w Bialymstoku","Rocz. Akad. Med. Bialymst."
"Roczniki Akademii Medycznej w Bialymstoku. Supplement","Rocz. Akad. Med. Bialymst. Supl."
"Roczniki Panstwowego Zakladu Higieny","Rocz. Panstw. Zakl. Hig."
"ROFO. Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","ROFO. Fortschr. Geb. Rontgenstr. Nuklearmed."
"Rofo; Fortschritte auf dem Gebiete der Rontgenstrahlen und der Neuen Bildgebenden Verfahren","Rofo. Fortschr. Geb. Rontgenstr. Neuen Bildgeb. Verfahr."
"Rogerian Nursing Science News","Rogerian Nurs. Sci. News"
"Romanian Journal of Endocrinology","Rom. J. Endocrinol."
"Romanian Journal of Internal Medicine","Rom. J. Intern. Med."
"Romanian Journal of Morphology and Embryology","Rom. J. Morphol. Embryol."
"Romanian Journal of Neurology and Psychiatry","Rom. J. Neurol. Psychiatry"
"Romanian Journal of Physiology","Rom. J. Physiol."
"Romanian Journal of Virology","Rom. J. Virol."
"Romanian Medical Review","Rom. Med. Rev."
"Rontgen-Blatter","Rontgenblatter."
"Rontgenpraxis","Rontgenpraxis"
"Rossiiskii Fiziologicheskii Zhurnal imeni I. M. Sechenova","Ross. Fiziol. Zh. Im. I. M. Sechenova"
"Rossiiskii Fiziologicheskii Zhurnal imeni I.M. Sechenova","Ross. Fiziol. Zh. Im. I M Sechenova"
"Rossiiskii Meditsinskii Zhurnal","Ross. Med. Zh."
"Roumanian Archives of Microbiology and Immunology","Roum. Arch. Microbiol. Immunol."
"Royal Canadian Dental Corps Quarterly","R. Can. Dent. Corps Q."
"Royal Institute of Public Health and Hygiene Journal","R. Inst. Public Health Hyg. J."
"Royal Society of Health Journal","R. Soc. Health J."
"Rozhledy v Chirurgii","Rozhl. Chir."
"Rozprawy Wydzialu Nauk Medycznych","Rozpr. Wydz. Nauk Med."
"RSC Advances","RSC Adv."
"Rubber Chemistry and Technology","Rubber Chem. Technol."
"Rumanian Medical Review","Rum. Med. Rev."
"Rural and Remote Health","Rural Remote Health"
"Russ Coile's Health Trends","Russ Coiles Health Trends"
"Russian Chemical Bulletin","Russ. Chem. Bull."
"Russian Chemical Reviews","Russ. Chem. Rev."
"Russian Journal of Applied Chemistry","Russ. J. Appl. Chem."
"Russian Journal of Bioorganic Chemistry","Russ. J. Bioorg. Chem."
"Russian Journal of Coordination Chemistry","Russ. J. Coord. Chem."
"Russian Journal of Electrochemistry","Russ. J. Electrochem."
"Russian Journal of General Chemistry","Russ. J. Gen. Chem."
"Russian Journal of Genetics","Russ. J. Genet."
"Russian Journal of Inorganic Chemistry","Russ. J. Inorg. Chem."
"Russian Journal of Organic Chemistry","Russ. J. Org. Chem."
"Russian Journal of Physical Chemistry A","Russ. J. Phys. Chem. A"
"Russian Journal of Physical Chemistry B","Russ. J. Phys. Chem. B"
"Russian Journal of Plant Physiology","Russ. J. Plant Physiol."
"Ryan Advisory for Health Services Governing Boards","Ryan Advis. Health Serv. Gov. Boards"
"Ryoikibetsu Shokogun Shirizu (Series on Symptomatic Syndrome by Area)","Ryoikibetsu Shokogun Shirizu"
"Ryumachi","Ryumachi"
"S e TA e NU; Rivista di Scienza e Tecnologia Degli Alimenti e di Nutrizione Umana","S TA NU"
"SA Nursing Journal","SA Nurs. J."
"SAAD Digest","SAAD Dig."
"SAAS Bulletin, Biochemistry and Biotechnology","SAAS Bull. Biochem. Biotechnol."
"Sabouraudia","Sabouraudia"
"Sac Explorer","Sac Explor."
"SADJ","SADJ"
"Sairaanhoidon Vuosikirja","Sairaanh. Vuosik."
"Sairaanhoitaja","Sairaanhoitaja"
"Sairaanhoitajalehti","Sairaanhoitajalehti"
"Saishin Igaku (Recent Medicine)","Saishin Igaku"
"Salud Bucal","Salud Bucal"
"Salud Publica de Mexico","Salud Publica Mex."
"Salud Pública de México","Salud pública Méx."
"Same-Day Surgery","Same. Day Surg."
"Sammlung Zwangloser Abhandlungen aus dem Gebiete der Psychiatrie und Neurologie","Samml. Zwangl. Abh. Geb. Psychiatr. Neurol."
"San Fernando Valley Dental Society Bulletin","San Fernando Val. Dent. Soc. Bull."
"San Gabriel Valley Dental Society Bulletin","San Gabriel Val. Dent. Soc. Bull."
"Sanfujinka no Jissai (Practice of Gynecology and Obstetrics)","Sanfujinka No Jissai"
"Sangre","Sangre (Barc.)"
"Sangyo Eiseigaku Zasshi (Journal of Occupational Health)","Sangyo Eiseigaku Zasshi"
"Sangyo Igaku (Japanese Journal of Industrial Health)","Sangyo Igaku"
"Sante","Sante"
"Sante Mentale au Quebec","Sante Ment. Que."
"Sante Publique","Sante Publique (Bucur.)"
"Sante Quebec","Sante Que."
"Santo Tomas Nursing Journal","St. Tomas Nurs. J."
"Sapporo Igaku Zasshi (Sapporo Medical Journal)","Sapporo Igaku Zasshi"
"SAR and QSAR in Environmental Research","SAR QSAR Environ. Res."
"Sarcoidosis","Sarcoidosis"
"Sarcoidosis, Vasculitis, and Diffuse Lung Diseases","Sarcoidosis Vasc. Diffuse Lung Dis."
"Saturday Review","Saturday Rev."
"Sbornik Lekarsky","Sb. Lek."
"Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity v Hradci Kralove","Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove"
"Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity v Hradci Kralove. Supplementum","Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove. Suppl."
